sample_id,temperature_C,pressure_kPa,velocity_ms,material,batch_id
S001,-12.5,98.3,-3.2,Steel,1
S002,-8.1,105.7,-1.8,Aluminum,1
S003,-3.4,112.2,-0.5,Steel,1
S004,0.0,118.9,0.0,Concrete,2
S005,4.7,125.4,1.3,Composite,2
S006,9.2,132.1,2.7,Steel,2
S007,15.0,138.6,3.9,Aluminum,2
S008,19.8,145.3,5.1,Concrete,3
S009,24.3,151.8,6.4,Steel,3
S010,30.1,158.2,7.8,Composite,3
S011,35.6,164.9,9.0,Aluminum,3
S012,40.2,171.4,10.3,Steel,4
S013,45.8,177.9,11.5,Concrete,4
S014,50.1,184.3,12.7,Composite,4
S015,55.7,190.8,,Steel,4
S016,60.3,197.1,15.2,Aluminum,5
S017,65.9,85.6,16.4,Steel,5
S018,70.4,78.3,17.6,Concrete,5
S019,75.0,92.1,18.9,Composite,5
S020,80.5,108.7,20.1,Steel,5
S021,-15.3,143.2,-4.8,Aluminum,1
S022,-7.6,156.4,-2.1,Steel,1
S023,12.4,169.7,3.5,Concrete,2
S024,28.9,182.3,8.2,Composite,3
S025,47.5,195.8,13.0,Steel,4
S026,62.1,88.4,17.8,Aluminum,5
S027,-2.3,121.6,-0.8,Steel,2
S028,22.7,134.9,6.1,Concrete,3
S029,38.4,148.2,10.8,Composite,4
S030,58.2,161.5,15.9,Aluminum,5
S031,33.1,175.1,9.4,Steel,3
