sample_id,temperature_C,pressure_kPa,velocity_ms,material,batch_id
S001,-11.8,99.1,-3.0,Steel,1
S002,-8.9,107.2,-2.1,Aluminum,1
S003,-4.1,110.8,-0.3,Steel,1
S004,0.8,120.3,0.2,Concrete,2
S005,5.2,124.1,1.6,Composite,2
S006,10.1,134.2,2.9,Steel,2
S007,14.3,137.1,4.2,Aluminum,2
S008,20.9,,5.4,Concrete,3
S009,25.1,153.4,6.7,Steel,3
S010,31.4,156.8,8.1,Composite,3
S011,34.8,166.3,9.4,Aluminum,3
S012,41.3,173.1,10.0,Steel,4
S013,46.7,179.4,11.9,Concrete,4
S014,51.2,186.0,13.1,Composite,4
S015,56.9,192.3,14.8,Steel,4
S016,59.7,195.8,15.6,Aluminum,5
S017,67.2,87.3,16.1,Steel,5
S018,69.8,80.1,18.0,Concrete,5
S019,76.4,94.7,19.2,Composite,5
S020,82.1,107.4,20.8,Steel,5
S021,-14.1,141.8,-5.1,Aluminum,1
S022,-8.4,158.2,-2.4,Steel,1
S023,13.2,171.3,3.8,Concrete,2
S024,29.7,180.6,8.6,Composite,3
S025,48.9,197.4,13.4,Steel,4
S026,63.5,90.2,18.2,Aluminum,5
S027,-1.8,123.4,-0.6,Steel,2
S028,23.5,136.7,6.4,Concrete,3
S029,39.8,150.1,11.2,Composite,4
S030,59.7,163.2,16.3,Aluminum,5
S032,41.2,168.3,11.6,Composite,4
